id,username,followers, following, location
329679491,MigueGaspar,2062,4030,Asunción, Paraguay
541639229,Natiii_Duarte,453,1214,PARAGUAY
1252733171038408721,BelCaballero24,199,606,Paraguay
474559659,rodalhelii,569,720,Paraguay
1246948445232955392,silvioes11,117,164,Coronel Oviedo, Paraguay
1927989012,lilogodoy_,972,540,Coronel Oviedo, Paraguay
380535395,AleexisAlonso,1510,685,Coronel Oviedo, Paraguay 
1242548325490008064,deyaavillagra,283,230,
3355873085,MAgdaNAvarro_11,233,380,Hakuna Matata
526800632,vaalelo,22723,538,Paraguay
372526252,laricentu,511,536,Coronel Oviedo - Paraguay
943166990931386368,jenny_aliende,377,511,Coronel Oviedo, Paraguay
729186187135594496,EverCoronel8,487,834,
207248408,Guillebevilla,1228,2613,Oviedo-Paraguay
406640850,AJosueWuyk,1365,1145,
1236262091251757057,ronamcdonalds,543,897,República del Par
1028186281497567233,DainaTamara,1234,252,Paraguay
1240441197056995330,Malu_Acosta94,224,579,
751721113,GabyCardeenas,881,638,Coronel Oviedo, Parawhy
480486006,Mar__Miranda,1230,715,,
1573330753,erikafarina_,1633,781,Capiatá
591320322,auxi_samudio,2022,1713,Paraguay - Villarrica 
2226264839,Cinthiavaz_15,243,218,Coronel Oviedo, Paraguay
975225062751178752,RumiPedrozo,270,894,
1110283586345857024,RociioRecaldee,236,367,
291001777,lwp_,40123,10353,
1217236305953857536,gayEnelcloset,218,1189,Asuncion, Paraguay
1525502186,VeroAyala7,2119,592,Coronel Oviedo - Paraguay
816043627,tejooon,1404,1339,Coronel Oviedo
1022691186719514625,anaa_avalos22,411,446,Villarrica, Paraguay
184474195,giulianojara,4480,601,C.D.E
1105865517443764224,Natu_gimenez04,240,345,,
873089168884113408,proyectoarapy,300,491,
383777341,LeticiaCandia11,1371,1185,Paraguay
1206933705584979969,flowerstore_co,300,390,
1106244196304936962,Lerin_Casco,503,419,
1128276889162874880,AleixaRosas27,1031,797,
1046158622,Maru_Molas,1816,1447,,
974384688440729601,NoriaNatalia,1198,1309,
2946835474,augusto_nxo,190,1119,
912749302082146308,NatiRamrez1,713,698,Caaguazu, Paraguay
290835154,Luna_duarcen,687,423,
844229000272756736,SanRo_Bazan98,2506,869,
1147911708855406596,Adrivazqueezz,226,238,Coronel Oviedo, Paraguay
174028197,tukiArt,10843,6184,Asunción, PARAGUAY
409612196,FabiMieres,1469,875,
2244073486,JulieBGa,810,1049,
1160548664961576960,BeatrizDur2,436,1340,Coronel Oviedo, Paraguay
237313285,JARAAARACELI,935,456,Paraguay
122358051,mpalumbopy,556,1112,Asunción - Paraguay
1830408181,fabriipony,454,447,Paraguay
4902934276,campuspartypy,789,339,
440869047,PatiMachuca,365,260,Paraguay
1127177260212137984,versadotado,413,1211,
1503593820,JorgePappalard,18517,6759,
4561962921,AnaBordon4,520,1312,
3277831,mb_ins,14631,15739,Paraguay (South America)
1126615206690480128,AgendaDigitalPY,2757,2948,Paraguay
1025825888523509760,AlmiMeer17,259,211,Coronel Oviedo, Paraguay
251922718,HugoOjedaben,1387,1225,Coronel Oviedo
1051269399041200128,FernandCDV,270,2132,Paraguay
779701827738755072,KevinEcheverra1,164,210,Paraguay
4104866057,MarchLopez1991,2525,4419,Asuncion, Paraguay
383570199,horanelmas,768,1096,
76019250,ariel_gamarra,824,1457,a de Bu
284092873,fredyfgf,465,4022,Paraguay - Asuncion
167511262,FedeDu,621,781,Coronel Oviedo, Paraguay
1535057754,Breen_Barrios,806,722,
1043865641042825218,JEmategui,526,648,Coronel Oviedo, Paraguay
611245137,NstorFlores,114,167,Paraguay
725392628301324289,amado_ozuna,688,2542,
336038139,RegissChespi,5018,3581,
492753061,CarolRojas11,5262,3888,,
961942786965737472,SharonCadoganc,278,934,
1086097922767405058,Mr_dientista,327,2041,Coronel Oviedo, Paraguay
1052363251248492544,sannie_lett02,1191,1087,Asuncion, Paraguay
1068880685803454464,dalmaceciliia,214,198,
716052337752731649,dianagodofran,2229,1955,Coronel Oviedo Py
782170044218404864,dosistech,101,181,Internet
3974118017,Martina_Romano2,1609,1197,Río Negro, Argentina
336765721,gabyjimenez0797,907,695,
1037467393042333697,Larissa73675895,587,1204,Centro, Rio de Janeiro
283173220,tammyavalos,1669,766,
263441444,EliasCCP1912,581,1218,
1029286105185697793,CoronelChupa,147,998,
356202036,felixpedrozo,658,1193,,
857043731140288512,rodrigokaser015,835,1754,,
1007772756438650881,AdrianaKriskov1,333,286,
718721990,RomiCaballero7,772,569,,
349939351,magnoliasosa,529,440,
384258914,Rutifruti_,8484,5324,Asuncion, Paraguay
563368271,JGauto97,906,568,Coronel Oviedo - Paraguay
800079293237772288,jdcris7,113,807,
982023775247126533,yessmafe_,268,1177,Ayolas - Encarnación 
375979506,elii_lopeez,1098,1082,Coronel Oviedo, Paraguay
986624170611105792,aninatinde,214,1790,
898690528295997441,RAON_1997,521,4699,
152296968,SacaMuelas_96,1266,997,Paraguay
136682813,johnz4m,2177,4935,asuncion
720326947570475009,lore_alviso,327,650,Coronel Oviedo, Paraguay
168252090,MajoHermoza,1657,1155,Paraguay 
991642814,mariegimenez18,2080,1023,ParaUno
899714053978894337,LorenaluGodoy,213,250,Coronel Oviedo, Paraguay
846546916842360832,rossaly_perez,863,381,Canindeyu, Paraguay
902879252915392512,Jaz_Nav18,803,3196,Coronel Oviedo Paraguay
2277374224,1997_andreabarz,268,411,Paraguay C.D.E 
850820860751618050,maryan_torres_v,113,1913,,
3425122413,sama_ely,222,2272,Coronel Oviedo, Paraguay
706152759050027008,ada_villagra,663,2551,Coronel Oviedo, Par
1918024490,nunhez_Ro,549,1821,Pdte Franco, Alto Paraná
3228598173,pamerodaas,1807,1505,Coronel Oviedo, Paraguay
198673256,rominaportill1,194,723,,
636539216,berthatamara,2423,1167,Coronel oviedo
742043730,crisrte,226,753,
885540814016983040,celeste_veloto,309,622,Coronel Oviedo, Paraguay
854164058613919744,Melina141414,446,1934,
849812652771639296,loiiacosta,994,689,Coronel Oviedo, Paraguay
776866924026294272,MajoOjeda4,282,617,,
4145646375,veribute91,732,563,
861392866286940161,MMMFranco16,291,809,Luque,Paraguay 
225074578,rafacace,1502,918,Paraguay
856266451832983552,PyElObservador,579,1180,,
391098102,CueGab,1099,1016,Paraguay
811330364593475585,vitomar117,731,4806,
845780322117701635,partido_sooo,674,1002,Paraguay
844159018943873024,RalCarlosVillo1,280,1253,
842044772428722177,mendietabarrios,376,932,Coronel Oviedo, Paraguay
1522894818,horanramsl,860,742,♡ Del país del tereré ♡
1556844752,villalbaKarenJ,4608,3343,San Lorenzo , Paraguay
2623558469,GSHotara,215,1194,
147433427,Icsor,1331,2091,Encarnación -Itapúa- Paraguay
302859113,judfa,410,678,Cnel oviedo- Paraguay
310642421,MarceloBaranda1,1904,988,
1397438292,tererescout,180,232,
411205376,julitocoronel,445,560,
618324611,AndreaBoniforti,82587,82390,España
305132870,LiissiNoguera,1098,1018,CDE - Py.
558283348,angelicaagodoy,1261,604,
283621641,AndreitaVjuilfs,945,602,Cnel. Oviedo - Paraguay
1694136530,JazminGaleano00,616,503,
824113604,isaac_taboada,676,3378,
65670544,hectorgayoso,726,587,Ajós - CDE
804451112661221377,machoalfa_py1,388,2474,
806522404671471616,DivagateHoy,107,713,
89023993,romyedc,2069,1495,
237439362,NathiEscobar_11,687,283,
144680785,anibalmart6,1673,1670,Coronel Oviedo, Paraguay
852113186,BenitezSm,981,998,Paraguay
804070746033192960,pinanezjaz,427,353,Coronel Oviedo, Paraguay
455407257,hillarygimenez,1448,1072,Asunción
350020893,AleAcosta_03,1632,620,
402857892,AramiiSantacruz,1289,1694,
484062443,JessyBogado10,675,325,,
3231000296,DKiketiin,110,868,
3196224208,info_infoenter,1038,3605,,
2903773457,KathiaStorm10,841,609,
1355244607,alfagimenz,910,1019,Paraguay
1390083540,analiapereirac,582,558,Asuncion, Paraguay
713359717,VamoosNaa,899,685,,
2282897230,AmmbarO,1004,774,Paraguay
913562120,mazacotte_anita,2297,862,
783056266692263941,LauraaCandia,1087,549,Coronel Oviedo, Paraguay
191318686,ANNGEL90,464,1670,Coronel Oviedo - Paraguay
546195637,VictoriaLlano,760,479,Paraguay
729908899,stefybenitez_,4740,2903,
171589034,lauorihuela_,842,388,Central, Paraguay
722180184552665088,Kgamarrav,592,444,Paraguay
4863956206,Geniferpatr,460,343,
2884398195,lcgm16,615,296,
2453871304,espinola_nai,646,609,ASUNCIÓN- PY 
1012160772,GimenezMilva,1835,1381,Coronel Oviedo - Paraguay
777717448447582208,FouzElena,600,700,Pilar- Paraguay 
1609283372,ovelar_sofi,376,1074,Coronel Oviedo - Paraguay
2554074226,pedrozo_rumi,676,1801,Coronel Oviedo, Paraguay
176117581,Narrass,380,852,Coronel Oviedo
184126474,LetiiciiaPerez,9869,4181,
351136467,AndreaVera13,654,435,
1514853870,lopezd_ana,1212,660,Coronel Oviedo, Paraguay
497512211,MHCC_marylen,341,592,
2207579764,paredes_maro,260,226,
2949201167,jvabente,781,709,villarrica
755554524291411968,traver_no,344,620,,
353270555,lore_bogadoV,7438,2883,
171656590,vanearev_,10920,4780,Asuncion, Paraguay
841018028,CarliVera4,410,751,
427572492,judmart,1101,1371,Paraguay
166294610,jessiicaceres,741,581,Asuncion, Paraguay
341632389,LuceroLaneri,797,1391, Coronel Oviedo-Paraguay
91037732,AnnaKarssR,11682,8362,
521788933,claririquelme1,6670,986,Luque, Paraguay
428474230,kamyl2207,1444,2321,Coronel Oviedo 
745946780131540992,marielp10,242,179,
97266487,monsepereira,1006,1003,Paraguay
737641711707508736,delacasapy,107,1061,
737366160,melvafloresg,872,781,
1859268078,rodriguezayii,1274,770,
103135443,Leisuresuitgary,816,440,Cleveland ohio
613549353,Chinchaa1,926,602,,
724332742817751041,Fatechayani,110,168,,
724247132211937280,lilischmidbauer,102,1052,
3997320563,luiscg891,279,288,,
116471028,tumadreok,38611,31626,Buenos Aires, Argentina
718834880,Sandrahermossa,507,370,
718304558515122178,UcaOviedo,162,167,
717715388881100800,FranciCacares,165,422,
262292423,RodrigoArcee,3594,1105,
554413268,marcelo920213,485,472,asuncion-paraguay
362660128,romi_rojass,1229,977,Paraguay
220999091,ScoutsParaguay,774,231,Paraguay
1647353328,laranjeirax,171,510,
309932225,giuliano_cardo,281,985,Asuncion, Paraguay
1053254772,RamosMexiaa,17379,13206,Tandil, Argentina
352719715,YanetGamarra,339,256,Coronel Oviedo, Paraguay
702910491958648832,SalvySanguina,207,332,Coronel Oviedo, Paraguay
3053804230,sanabriagero12,172,250,Curuguaty.Py
166766814,futbolovetense,4935,763,Coronel Oviedo, Paraguay
211339567,gabrielmiretl,218,569,
4920088499,paokolmman,375,708,
4893881404,ElizabethFttim2,180,1076,Paraguay, Salto del Guairá
3080730518,avalos_italo,184,1469,
4863932391,DianaGo23149186,100,576,,
1572328688,soff17_,1662,697,Asuncion, Paraguay
1287222582,beaarzac,1162,2200,Coronel Oviedo Paraguay
462376327,cristianruben15,1122,1616,
4850569606,Dani03GRS,232,670,
2367668905,mauarzamendia,995,1646,Coronel Oviedo, Paraguay
561973970,gabyfarina2,2353,2049,paraguay
527951827,CamilaP06,551,792,
211904677,juliocc1973,236,2037,Paraguay
397638139,jaz_pz,853,601,Coronel Oviedo - Paraguay
232317323,wirson_ferreira,122,248,Cnel Oviedo - Paraguay
853957122,jara_rodrigoo,28204,24270,
129885912,claudiopezoa01,866,904,Paraguay
353883106,MilvaStumpfs,1638,750,Coronel Oviedo, Paraguay
4739870476,MiabelaG,549,560,Paraguay
770441977,yessi_ojeda,8347,8154,República del Terere
1146781837,Joseeveeloo,293,418,
2727677123,anto_aces,150,232,
2440575642,gaabibe_,1190,819,Coronel Oviedo - Paraguay 
4536824127,Nutriboy_89fit,318,1122,Coronel Oviedo, Paraguay
616605545,Karen_Vego,617,875,Coronel Oviedo, Paraguay
4505423355,uldera_andres,175,997,
4503121227,Dahiana_016,204,427,Alto Parana, Paraguay
382814823,laurasantax,214,251,Ingeniera Agroforestal 
512257505,nailaxd_,1867,2615,Asuncion, Paraguay
1037805780,lizdialeon,317,182,Cecilio Báez ♥ - Coronel Oviedo
815476860,CarmeenVillalba,459,374,
3135798770,lopezva_,2288,370,Asuncion -  Paraguay 
970826041,MiabelaGrommeck,314,343,Dr  Cecilio Baez _Paraguay
3815606561,RGCmboreviPy,105,947,
3765561983,FerMart027,133,645,,
287955897,imKyky,980,626,Arriba tuyo.
3697711935,yayafitt,1314,825,Buenos Aires, Argentina
589631619,rocioovega,986,629,Paraguay
377457237,Majo_Penayo015,1498,1217,Lambaré
708536554,natiperalta94,326,299,
3554910615,champagnedisco2,1142,1937,Coronel Oviedo, Paraguay
2536374384,adrianamoston,134,429,
392847925,_AraCardenas,1316,755,Asunción-Paraguay
491881599,pmarmol14,652,443,Eusebio Ayala - Paraguay
548613698,ChelyGonzalezF,878,695,San Lorenzo-Paraguay
96318132,kamikfranco,585,289,Paraguay
1148709535,lujan_shirley,387,354,Paraguay me parió
1069027885,ZuBartomeu,1106,905,Asunción, Ove
563441424,liliguillen_94,978,845,Paraguay
1394763439,palmfucktrash_,3803,1071,
325945583,souzandresp,122,354,Asunción - Paraguay
1973603695,valeria_silva01,1942,668,Los Polvorines
3309641969,ConradMiguelito,162,1256,
1096409610,MiguelaDavalos,2299,1176,,
3302495596,alagranviernes,459,1865,
3298739242,rodoramirez9367,466,1994,,
133690651,FerMolinas,582,1216,
169173740,GustavooBenitez,1060,595,Coronel Oviedo, Paraguay
3082649946,Ed_Jaramillop,102,491,
2882661605,zarza15_tere,106,376,
1648738334,karenropy,1148,502,
424602212,LashaunMatacale,9211,7162,Your heart
3137042282,figueredolichi,180,430,Cnel.OViedo-Paraguay
712002502,RomiRamiirez,1396,1121,Tierra Guarani 
3086615362,Dani3GRS,324,888,
2471764140,beatsshirts,1652,3558,Paraguay
92837927,djjuanlu,2974,2681,Coronel oviedo
454777707,DavidSanabriaOr,318,935,Coronel Oviedo-Py
78099338,amarillawalter,324,464,Coronel Oviedo Paraguay
3039434253,CMUPPY,138,377,
321389272,lauramarlisecas,467,593,
2920912012,frojasmosqueira,932,767,CORONEL OVIEDO, PARAGUAY
96999262,partesiguales,1470,1097,
2877087327,bitfiyt,157,194,Paraguay
2943122440,oscar007narbz,120,688,
783210380,pattczl_,1240,1084,Yo soy de para1 ★☆☆☆
301555002,oscarchavezc,735,1785,Paraguay
2573572363,PyPaparazzi,1182,1583,Revista Argentina 
569252132,solisherman,454,2399,Cnel. Oviedo - Paraguay
188525626,MhiryGomez,3982,1256,Itá, Paraguay
2896459461,RHCPfanspy,372,950,
770013578,anacabrera93,424,285,
192710086,Bettaniaaa,1034,589,Paraguay
2867626726,BeaFatecha,136,386,
1724146105,pao_roo,534,558,Coronel Oviedo, Paraguay
1633586138,Oviedotoon,215,447,Coronel Oviedo - Paraguay
181222187,yanetmagali,8250,5551,Encarnacion, Paraguay
278762847,Ro_Rivb,407,717,Paraguay
1472033270,verispsosa,172,586,
413495373,belendiaz77,1179,1155,,
1470331165,futbolremeraspy,269,494,
1942898851,SamudioDenisse,1108,1023,
558796745,avalos_clari,298,332,coronel oviedo 
850154450,Bettina_95,495,638,,
2449110499,KatherineOrtiz_,3903,763,
593112695,diegomarcelo94,1377,589,Coronel Oviedo - Py
1365833768,sooeli_88,483,403,Coronel Oviedo, Pa
356623813,irmaUsulaqui,581,703,Py
872120504,eliasbogado15,693,565,
706916121,LizFabiolaGonza,690,522,
2750885729,rodriflores23,160,648,
611817594,LaTaquillaDVD,228,158,Coronel Oviedo - Paraguay
2740406272,cassuincele,346,620,
2722179830,XimeGayoso,372,1296,
627989057,quitos19insfran,282,641,Paraguay
1057834428,lolynavarro92,468,542,
2608787935,greenzitcho,120,634,Barueri, São Paulo
2594280722,IbarrolaXisco,109,477,
1973342208,vivianyime,288,1135,Lejos 
425134511,macoritto94,733,679,Coronel Oviedo - Paraguay
888907633,humanospy,812,905,Coronel Oviedo - Paraguay
104614250,AnttoFreese,1245,504,Santa Rita-Paraguay
429024103,CynthiaCnelA,1994,703,Paraguay
1898850378,laivaldi,799,617,
513237492,Tabarisdisco,2386,2028,Villarrica - Paraguay
2176486088,clauca_7,311,270,,
110229351,tivahq,1183,1236,Asunción, Paraguay
1549558008,cerristas_bsas,8789,4874,
2396483190,Larazonpy,1597,1910,Coronel Oviedo
1871508698,MarlyVillamayor,202,255,
1013241374,AndreaGoiris1,283,256,
497155910,EmiliaaOrtiz,1351,1741, Paraguay 
1748464363,Avila95Ivan,683,1361,
275551864,ndechicare,1418,849,San lorenzo
2359950043,Ale_montiel22,228,789,
1212111931,adriandino95,354,347,
937485378,GabiiAguiar18,263,343,
109720141,IvanaNunhez,1305,599,Coronel Oviedo - Paraguay
924588156,_koCoronel,443,408,Paraguay-Cnel.Oviedo
354641697,ivanchoAndino,1003,458,Coronel Oviedo
829611097,MorisBenitez,989,772,
796887098,pam_endez,3135,2699,
954282914,MonicaVeera,1161,414,Coronel Oviedo-Paraguay
447481572,mariaojeda09,2812,1114,Coronel Oviedo - Paraguay
174865201,djalvarobenitez,1756,557,coronel oviedo, paraguay
445713436,nilseiturbe,1707,792,Paraguay
245416499,josedmereles12,526,505,Paraguay
1589831564,ro_balansa,175,256,coronel oviedo
556356134,_nickypaez,776,496,
154651126,ortegarodrigo14,781,682,Coronel Oviedo
1410375325,kriscovicho,1223,889,Coronel Oviedo - Paraguay
1152954272,MaggiGaona,899,808,Asuncion - PARAGUAY
326372391,alexischamo28,125,227,
1682123246,heey_rubia,1124,774,Paraguay
1388432180,hijadelbosque,1723,1661,Puerto Bertoni
711670856,FerreiraMaga,929,632,Cnel. Oviedo, Paraguay
168326992,pepiidomii,268,808,,
1496764490,ferjbarret,441,338,,
1137769051,JessicaaOrtiizz,935,405,Coronel Oviedo, New york
849534349,_ClauFarias,1204,1173,Lambaré - Paraguay 
1689922676,etheelsmith,982,658,
